,name,age,floors,rent,type_jia, type_yi,type_bing,Shanghai,LuWan,JiaDing,FengXian,BaoShan,XuHui,PuTuo,YangPu,SongJiang,PuDong,HongKou,jinjiao,ChangNing,MinHang,ZhaBei,QingPu,JingAn,HuangPu,hotel,hospital,mall,park1500,store,underground,POIs
98,D1国际创意空间,17.0,7.0,4.06,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29.0,4.0,1.0,2.0,12.0,2.0,27
99,新业大楼,23.0,12.0,3.55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0.0,3.0,8.0,1.0,26
100,东方金融广场,7.0,23.0,7.61,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.0,1.0,3.0,4.0,18.0,0.0,26
101,优房商务中心,,5.0,2.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,0.0,0.0,2.0,5.0,1.0,25
102,华敏翰尊国际商务大厦,,1.0,4.87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.0,4.0,0.0,4.0,13.0,0.0,25
103,北上海创意港,,,1.83,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,4.0,1.0,24
104,万科时一区,,15.0,3.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0,2.0,0.0,0.0,4.0,0.0,24
105,东华大学科技园,14.0,6.0,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0,0.0,4.0,2.0,12.0,1.0,26
106,燕兴大厦,16.0,24.0,2.84,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56.0,6.0,3.0,3.0,18.0,1.0,27
107,明园商务中心,11.0,6.0,4.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,229.0,15.0,0.0,19.0,36.0,1.0,26
108,SOHO天山广场,2.0,31.0,6.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38.0,0.0,7.0,8.0,33.0,1.0,26
109,灿虹精英大厦,,,3.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0,3.0,1.0,1.0,16.0,0.0,26
