,名称,地址,类型,级别,物业费,空调类型,客梯数,货梯数,车位月租金,地上车位数,网络通讯,地下车位数,物业公司,楼内配套,入驻企业,安防系统,楼层数,竣工时间,总面积,标准层面积,标准层高,地下车位数2,净高,开发商,大堂层高,是否涉外,可注册,开间面积,外墙,租金
2810,明凯大厦,虹口-四川北路-柳营路125号,商业综合体,甲级,10,集中式中央空调,10,3,,500,电信、联通、移动,,上海灯具城市场经营管理有限公司,银行、商务中心、会议室、会展中心,,银行、商务中心、会议室、会展中心,13,2013年月,18000,1500,3.35,,3.1,上海明凯实业有限公司,5.09,False,True,140m²、160m²、180m²,玻璃幕墙,3.55
2814,松港商务楼,松江-松江新城-茸梅路345号,写字楼,甲级,5,,,,,,,,,,,,,,,,,,,,,True,True,,,1.52
2815,洲际中心,静安-火车站-裕通路100号,写字楼,甲级,28,集中式中央空调,15,1,1200,30,电信、联通、长城、铁通、移动、卫通,1000,上海宝矿钻石物业有限公司,餐饮、商务中心、会议室、会展中心,企业名称：上海耀达房地产开发有限公司，所属行业：房地产/建筑、企业名称：大英矿业资源股份有限公司，所属行业：能源/原材料、企业名称：JAE 江欢城建筑设计，所属行业：房地产/建筑、企业名称：万国纸业太阳白纸业有限公司，所属行业：贸易/消费/制造/营运、企业名称：魏德米勒电联接国际贸易有限公司，所属行业：贸易/消费/制造/营运,餐饮、商务中心、会议室、会展中心,55,2009年6月,203368,1800,3.4,1000,2.9,上海耀达房地产开发有限公司,12,True,True,2m²、332m²、703m²、804m²、001m²、800m²,玻璃幕墙,7.1
2818,松江漕河泾,松江-九亭-松江区莘砖公路518号,写字楼,甲级,2.8,,,,,,,,,,,,,,,,,,,,,True,True,,,1.62
2819,申鑫大厦,黄浦-城隍庙-上海黄浦区宁海东路200号,写字楼,甲级,21,,5,1,1500,20,电信、联通、移动、卫通,50,冶金物业管理公司,餐饮、便利店,企业名称：界龙实业集团，所属行业：贸易/消费/制造/营运、企业名称：华鑫期货有限公司，所属行业：会计/金融/银行/保险、企业名称：北京艾克斯科技有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海陆达信息发展有限公司，所属行业：会计/金融/银行/保险、企业名称：上海中大股份有限公司，所属行业：房地产/建筑,餐饮、便利店,28,1996年1月,28000,905,3.5,50,2.5,上海冶金局房地产开放有限公司,4.5,True,True,,,3.24
2820,嘉立国际广场,松江-松江新城-广富林路697弄,综合写字楼,甲级,4.8,,,,,,,,,,,,21,,,,,,,,,True,True,,,1.56
2821,宏汇国际大厦,徐汇-徐家汇-中山西路1602号,写字楼,甲级,28,集中式中央空调,12,2,1200,36,电信、联通、铁通,678,上海鸿物业管理有限公司,食堂、银行、ATM、便利店、干洗店、商务中心、会议室,企业名称：上海鸿汇置业有限公司，所属行业：专业服务/教育/培训,食堂、银行、ATM、便利店、干洗店、商务中心、会议室,20,2010年8月,94700,1521,3,678,2.7,宏汇置业”隶属国际知名it企业“台湾蓝天集团”,9,True,True,200m²、300m²,玻璃幕墙,3.33
2823,外滩109,虹口-北外滩-高阳路109号,创意园区,丙级,,,,,,,,,,,,,4,,,,,,,,,True,True,,,6.08
2824,恒生银行大厦,浦东-陆家嘴-银城东路101号,写字楼,甲级,45.5,集中式中央空调,10,2,1400,,电信、联通、长城、铁通、移动、卫通、有线通,420,倍思特物业,ATM、餐饮、便利店、干洗店,企业名称：恒生银行，所属行业：会计/金融/银行/保险、企业名称：东芝电子（上海）有限公司，所属行业：计算机/互联网/通信/电子、企业名称：蓝璀钢铁国际贸易(上海)有限公司，所属行业：贸易/消费/制造/营运、企业名称：大福证券有限公司上海代表处，所属行业：会计/金融/银行/保险、企业名称：岩谷（中国）有限公司，所属行业：能源/原材料,ATM、餐饮、便利店、干洗店,46,1998年4月,116824,1500,3.9,420,2.7,上海森茂国际房地产有限公司,8,True,True,130m²、167m²、290m²,玻璃幕墙,10.14
2825,星汇广场,杨浦-黄兴公园-上海市杨浦区长阳路,商业综合体,乙级,15,,,,,,,,,,,,,,,,,,,,,True,True,,,3.35
2826,滨江万科中心,浦东-陆家嘴-浦东大道1471号,写字楼,甲级,30,,,,,,,,,,,,,2000年1月,,,,,,,,True,True,,,6.29
2829,茸锦科技园,闵行-浦江-恒南路399号,商业综合体,甲级,6,,,,,,,,茸锦科技园,,,,10,2016年10月,,,,,,茸锦科技园,,True,True,,,1.83
2830,森林湾大厦,虹口-北外滩-吴淞路469号,写字楼,甲级,15,,6,1,1000,100,电信、联通、长城、铁通、移动,200,森林湾大厦物业管理有限公司,银行、便利店,企业名称：中宇物流，所属行业：物流/运输、企业名称：华泓国际货运，所属行业：物流/运输、企业名称：上海隽雄国际物流有限，所属行业：物流/运输、企业名称：上海捷喜国际货物运输代理有限公司，所属行业：物流/运输、企业名称：天津市嘉达货运代理有限公司上海代表处，所属行业：物流/运输,银行、便利店,23,2005年9月,58000,1500,4,200,3.8,上海森凌置业发展有限公司,5,True,True,218、269、316m²,玻璃幕墙,4.06
2831,SOHO中山广场,长宁-虹桥开发区-中山西路1055号,商业综合体,甲级,28,集中式中央空调,14,4,1300,24,联通、移动,359,锦荣物业,餐饮、便利店,企业名称：三星，所属行业：计算机/互联网/通信/电子、企业名称：美国江森，所属行业：贸易/消费/制造/营运、企业名称：双凯液压贸易（上海）有限公司，所属行业：贸易/消费/制造/营运、企业名称：人人网，所属行业：计算机/互联网/通信/电子、企业名称：韩亚航空，所属行业：物流/运输,餐饮、便利店,23,2011年7月,114244,3877.66,3.85,359,2.7,SOHO中国有限公司,10,True,True,188m²、298m²、3800m²,玻璃幕墙,5.68
2833,金陵海欣大厦,黄浦-人民广场-福州路666号,写字楼,甲级,30,,5,1,1100,10,电信、联通、移动、卫通,190,第一太平洋戴维斯,餐饮,企业名称：奇胜电气，所属行业：贸易/消费/制造/营运、企业名称：金佰利，所属行业：贸易/消费/制造/营运、企业名称：JVC系统工程，所属行业：计算机/互联网/通信/电子、企业名称：金陵股份，所属行业：政府/非赢利机构/其他、企业名称：金百利，所属行业：政府/非赢利机构/其他、企业名称：第一三共制药北京有限公司，所属行业：贸易/消费/制造/营运、企业名称：美珍香休闲食品上海有限公司，所属行业：贸易/消费/制造/营运,餐饮,26,2000年12月,40000,1100,3.6,190,2.6,上海金陵海欣发展有限公司,4,True,True,123m²、182m²、370m²、425m²,玻璃幕墙,7.42
2834,新华联大厦,黄浦-老西门-淮海中路755号,写字楼,甲级,30,集中式中央空调,11,1,1400,10,电信、联通、移动、卫通,120,东湖物业管理公司,ATM、餐饮、便利店、干洗店,企业名称：东工物产贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：朗阁教育集团，所属行业：专业服务/教育/培训、企业名称：莎喜国际货运代理（上海）有限，所属行业：物流/运输、企业名称：艾比森商务中心，所属行业：专业服务/教育/培训、企业名称：上海岚珍光学科技有限公司，所属行业：计算机/互联网/通信/电子,ATM、餐饮、便利店、干洗店,20,1997年12月,59611,1300,3.4,120,2.6,上海华联商厦股份有限公司,3,True,True,80m²、318m²、159m²、298m²、1178m²、1211m²,玻璃幕墙,4.64
2837,康建商务广场,普陀-真如-真南路1288号,写字楼,甲级,8,分体空调,5,1,600,50,电信、联通、长城、铁通、移动、卫通、有线通,200,,银行、ATM,,银行、ATM,16,2009年3月,95000,1600,3.5,200,3,上海圣鑫投资有限公司,5,True,True,40m²、360m²、408m²,玻璃幕墙,2.43
2838,长宁88中心,长宁-中山公园-长宁支路125号,商业综合体,甲级,30,集中式中央空调,3,1,800,600,电信、联通、长城、铁通、移动、卫通,1200,狮城怡安（上海）物业管理有限公司,食堂、银行、ATM、餐饮、便利店、干洗店、商务中心、会议室,,食堂、银行、ATM、餐饮、便利店、干洗店、商务中心、会议室,23,2014年12月,175000,1080,3.2,1200,2.8,上海汇通房地产有限公司,8,True,True,155m²、200m²,玻璃幕墙,6.59
2839,汇京国际广场,徐汇-徐家汇-虹桥路777号,商业综合体,甲级,25,半集中式中央空调,7,1,1200,400,电信、联通、移动,30,戴德梁行,银行、餐饮、便利店、干洗店、会议室,,银行、餐饮、便利店、干洗店、会议室,24,2013年8月,86700,1500.68,3.95,30,2.7,汇京置业,10,True,True,5--8m²,玻璃幕墙,5.68
2840,阿里中心,"闵行-华漕-申长路,近润虹路",写字楼,甲级,32,,,,,,,,戴德梁行物业管理有限公司,,,,15,2017年10月,,,,,,广州富力地产股份有限公司,,True,True,,,4.46
2844,三林金融众创空间,浦东-上南地区-三林路424号,写字楼,甲级,9,,,,,,,,,,,,,,,,,,,,,True,True,,,3.35
2847,新海商务大厦,杨浦-五角场-逸仙路661号近万安路,写字楼,甲级,15,分体空调,4,1,800,300,电信,14,,银行、ATM,企业名称：上海恒日彩钢制品有限公司，所属行业：房地产/建筑、企业名称：晔晖金属材料有限公司，所属行业：能源/原材料、企业名称：胜和金属材料有限公司，所属行业：能源/原材料、企业名称：上海威凯金属材料有限公司，所属行业：能源/原材料、企业名称：兴业银行上海分行大柏树支行，所属行业：会计/金融/银行/保险、企业名称：宝闽钢铁(集团)有限公司，所属行业：能源/原材料,银行、ATM,29,2003年12月,6000,850,2.6,14,2.3,景隆置业,6,True,True,200m²,大理石,2.03
2848,中国保险大厦,浦东-陆家嘴-陆家嘴东路166号,写字楼,甲级,30,集中式中央空调,11,1,1500,20,电信、联通、铁通、移动,240,中保大厦有限公司物业管理分公司,银行、ATM、餐饮、会议室,企业名称：太平洋保险，所属行业：会计/金融/银行/保险、企业名称：安永咨询，所属行业：会计/金融/银行/保险、企业名称：兴业证券，所属行业：会计/金融/银行/保险、企业名称：上海南都集团有限公司，所属行业：政府/非赢利机构/其他、企业名称：松下电器机电（中国）有限公司，所属行业：贸易/消费/制造/营运,银行、ATM、餐饮、会议室,39,1999年10月,73000,1700,3.9,240,2.7,上海中国保险有限公司,20,True,True,250m²、350m²,涂料,8.11
2850,华苑大厦,徐汇-万体馆-凯旋路3500号,综合写字楼,乙级,4,分体空调,3,,300,20,电信、联通、移动、有线通,80,,ATM、餐饮、便利店,企业名称：学大教育徐汇校区，所属行业：专业服务/教育/培训、企业名称：新王牌教育，所属行业：专业服务/教育/培训、企业名称：安思传媒，所属行业：广告/媒体、企业名称：华燕消防，所属行业：贸易/消费/制造/营运、企业名称：宝万国贸易，所属行业：贸易/消费/制造/营运,ATM、餐饮、便利店,31,1998年1月,42160,680,3,80,2.5,新上海国际房地产有限公司,4,False,False,150m²、190m²、180m²,面砖,2.57
2852,林顿大厦,静安-火车站-恒丰北路100号,写字楼,甲级,4.5,分体空调,3,1,20,20,电信、联通、长城、铁通、移动,70,新新物业,ATM、便利店,企业名称：淮达实业，所属行业：贸易/消费/制造/营运、企业名称：硕博贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海千鹏广告有限公司，所属行业：广告/媒体、企业名称：上海瀚瑟网络科技有限公司，所属行业：计算机/互联网/通信/电子,ATM、便利店,28,2001年11月,37500,1340,3.3,70,3,上海林都大酒店管理有限公司,8,True,True,85m²、160m²、1000m²、210m²,玻璃幕墙,1.99
2856,宝纳大厦,闵行-龙柏-金汇路先锋街25号,写字楼,甲级,20,,2,1,500,37,电信、联通、移动,38,,餐饮、商务中心,企业名称：上海首健医药科技有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海冠新物流有限公司，所属行业：物流/运输、企业名称：金惟楷展示用品有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海雍尚智能科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海莱依尔美容美发有限公司，所属行业：专业服务/教育/培训、企业名称：爱瑞恩生物技术有限公，所属行业：贸易/消费/制造/营运、企业名称：闵行公证处，所属行业：政府/非赢利机构/其他、企业名称：上海永诚财产保险有限公司，所属行业：会计/金融/银行/保险、企业名称：达肯国际贸易有限公司，所属行业：贸易/消费/制造/营运,餐饮、商务中心,9,2008年12月,14145,1656,4,38,2.7,金宝百纳,4.2,False,True,89m²、450m²,玻璃幕墙,3.35
2857,良丰大厦,浦东-陆家嘴-东方路8号,写字楼,乙级,7.9,分体空调,4,1,500,,电信、联通、长城、铁通、移动、有线通,30,良丰物业,便利店、商务中心、会议室,企业名称：上海市心理咨询协会，所属行业：计算机/互联网/通信/电子、企业名称：东方悦吉，所属行业：贸易/消费/制造/营运、企业名称：上海浙良进出口有限公司，所属行业：贸易/消费/制造/营运、企业名称：美国联合涂料公司上海代表处，所属行业：贸易/消费/制造/营运、企业名称：绅士缘休闲会所，所属行业：专业服务/教育/培训,便利店、商务中心、会议室,38,1997年10月,31000,1500,2.65,30,2.5,上海明泰房地产开发有限公司,3.5,True,True,100m²、150m²,玻璃幕墙,2.53
2858,嘉定区西上海大厦,嘉定-安亭-安亭镇墨玉南路1080号,写字楼,甲级,,,,,,,,,,,,,,,,,,,,,,True,True,,,2.74
2860,恒耀广场,松江-九亭-沈砖公路5666号,商业综合体,甲级,12,,,,,,,,上海漕河泾开发区物业,,,,21,2016年10月,,,,,,上海漕河泾开发区,,True,True,,,1.72
2861,航天大厦,徐汇-徐家汇-漕溪路222号,酒店写字楼,甲级,25,,3,1,,100,电信、联通、长城、移动,150,航天物业,食堂、餐饮、便利店、商务中心、会议室,企业名称：上海飞机设计研究院，所属行业：房地产/建筑、企业名称：金马甲上海工作室，所属行业：房地产/建筑、企业名称：上海帕威电子科技有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海航铝铝业有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海卓碧泉化妆品有限公司，所属行业：贸易/消费/制造/营运,食堂、餐饮、便利店、商务中心、会议室,20,1994年12月,70928,700,3.5,150,2.7,上海航天局,6.5,True,False,44m²、77m²,面砖,3.35
2862,浦江智谷商务园,闵行-浦江-联航路1188号,写字楼,乙级,12,集中式中央空调,6,2,100,,电信、联通、移动,755,上海金晨物业经营管理有限公司,食堂、银行、餐饮、便利店、干洗店、商务中心、会议室,企业名称：上海豫东电子科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：中国贸易网提供上海贝瑞电子科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海光旭照明科技有限公司，所属行业：贸易/消费/制造/营运,食堂、银行、餐饮、便利店、干洗店、商务中心、会议室,4,2008年1月,109000,6600,3.5,755,3.6,上海鹏晨联合实业有限公司,5,False,True,375m²、1075m²,花岗石,1.72
2863,金桥谷创意园,浦东-金桥-金高路2216号,创意园区,乙级,22,分体空调,2,1,200,420,电信、铁通,50,,餐饮、便利店、干洗店,企业名称：上海鑫桥建材，所属行业：房地产/建筑、企业名称：上海派司尼科技发展有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海麦万工贸有限公司，所属行业：物流/运输、企业名称：诚利钻石有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海北石设计咨询有限公司，所属行业：房地产/建筑,餐饮、便利店、干洗店,5,2010年5月,20000,15000,2.8,50,2.5,嘉韵投资有限公司,4.5,False,True,500m²,大理石,2.43
2864,前滩世贸中心,浦东-三林-上海市浦东新区济阳路688号,写字楼,甲级,,,,,,,,,,,,,,,,,,,,,,True,True,,,6.39
2865,星荟中心,虹口-北外滩-虹口区天潼路108号,写字楼,甲级,,,,,,,,,,,,,,,,,,,,,,True,True,,,6.9
2867,信息技术大厦,杨浦-控江-控江路1555号,写字楼,甲级,13.5,集中式中央空调,4,1,200,10,电信、联通、移动、卫通,50,,食堂、银行、ATM、餐饮、便利店、商务中心,企业名称：上海罗维信息技术有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海贝杰仪器仪表有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海迈玛瑞大酒店有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海昀润商务咨询有限公司，所属行业：贸易/消费/制造/营运,食堂、银行、ATM、餐饮、便利店、商务中心,31,2000年8月,49000,1367,31,50,2.5,上海杨浦科技投资发展有限公司,7,False,True,47m²、111m²、167m²,玻璃幕墙,3.04
2872,港陆广场,黄浦-人民广场-西藏中路18号,写字楼,甲级,30,集中式中央空调、分体空调,8,2,1180,180,电信、联通、移动,200,戴德梁行,餐饮、便利店,企业名称：康博嘉信息科技(上海)有限公司，所属行业：计算机/互联网/通信/电子、企业名称：香港恒达纺织实业有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海恒瑞物流有限公司，所属行业：物流/运输、企业名称：嘉宏航运有限公司，所属行业：物流/运输、企业名称：伊立欧化学贸易(上海)有限公司，所属行业：贸易/消费/制造/营运、企业名称：现代商船（中国）有限公司，所属行业：物流/运输、企业名称：苏州力特奥维斯保险有限公司，所属行业：会计/金融/银行/保险、企业名称：美国赛夫-华兰德国际有限公司，所属行业：贸易/消费/制造/营运、企业名称：香港贝斯德（亚太区）有限公，所属行业：贸易/消费/制造/营运,餐饮、便利店,36,1997年12月,54733,1500,4,200,2.5,港陆房地产开发有限公司,6,True,True,150m²、200m²,玻璃幕墙,6.19
2877,新漕河泾大厦,徐汇-漕河泾-漕宝路509号,写字楼,乙级,28,集中式中央空调,2,1,500,20,电信、联通、移动,,漕河泾物业总公司,银行、ATM、餐饮、便利店,企业名称：上海迪深化工有限公司，所属行业：能源/原材料、企业名称：安德鲁电信器材（中国）有限公，所属行业：计算机/互联网/通信/电子、企业名称：赫盛光电（上海）有限公司，所属行业：房地产/建筑、企业名称：弘发建筑设计，所属行业：房地产/建筑、企业名称：东联国际，所属行业：贸易/消费/制造/营运,银行、ATM、餐饮、便利店,20,1995年3月,21128,1300,2.8,,2.7,漕河泾新兴技术有限公司,4.5,True,True,,,4.06
2879,松江九亭镇高科园区,松江-九亭-九泾路1328号,创意园区,乙级,2,半集中式中央空调,2,1,350,60,电信、联通、长城、铁通、移动、有线通,100,,ATM、餐饮、便利店、干洗店、商务中心、会议室,,ATM、餐饮、便利店、干洗店、商务中心、会议室,18,2010年12月,41659,3350,4,100,3,峰华开发集团有限公司,5.5,True,True,300m²,大理石,2.54
2880,礼和洋行大楼,黄浦-人民广场-江西中路255号,综合写字楼,甲级,23,,,,,,,,上海中达广场物业管理有限公司,,,,4,1898年4月,,,,,,汉堡轮船公司,,True,True,,,5.07
2885,融汇958创意园,浦东-陆家嘴-灵山路958号,写字楼,甲级,9,,,,,,,,,,,,,,,,,,,,,True,True,,,4.31
2886,金博尚品,浦东-世纪公园-张杨路1518、1528号,综合写字楼,甲级,25,集中式中央空调,3,1,1000,,电信、联通、长城、铁通、移动、卫通、有线通,30,上海东莲物业管理有限公司,银行、ATM、餐饮、便利店、干洗店、商务中心、会议室,企业名称：上海市维乐医疗设备有限公司，所属行业：政府/非赢利机构/其他,银行、ATM、餐饮、便利店、干洗店、商务中心、会议室,12,2007年6月,8372.06,350,4.5,30,2.9,上海东金博置业有限公司,5.5,False,True,87m²,涂料,4.06
2887,徐汇晶典大厦,徐汇-万体馆-中山西路2281号,写字楼,乙级,7.5,分体空调,2,1,500,60,电信、联通、长城、铁通、移动、有线通,150,上海巾帼园物业管理有限公司,便利店,企业名称：美凯友迪自动化工程，所属行业：贸易/消费/制造/营运、企业名称：五金工具，所属行业：贸易/消费/制造/营运、企业名称：中妇旅国际旅行社，所属行业：专业服务/教育/培训、企业名称：安信建设工程造价咨询，所属行业：房地产/建筑、企业名称：妇女干部学校，所属行业：专业服务/教育/培训,便利店,23,2005年1月,18000,640,3,150,2.7,上海荣联房地产有限公司,3.5,False,True,160m²,涂料,3.55
2888,柳林大厦,黄浦-淮海路-淮海中路1号,写字楼,甲级,25,,5,2,1200,,电信、联通、长城、铁通、移动、卫通、有线通,65,上海金雁物业管理有限公司,银行、ATM、餐饮,企业名称：赛勃网络信息，所属行业：计算机/互联网/通信/电子、企业名称：上海金雁物业管理有限公司，所属行业：房地产/建筑、企业名称：香港戴安公司上海代表处，所属行业：贸易/消费/制造/营运、企业名称：上海长发丰源日化用品有限公司，所属行业：贸易/消费/制造/营运、企业名称：北京领语堂教育科技发展，所属行业：专业服务/教育/培训,银行、ATM、餐饮,33,,40590,1030,3.8,65,2.5,上海市工商管理局卢湾分局,6,True,True,170m²、405m²、580m²,玻璃幕墙,5.98
2889,华联创意广场,长宁-中山公园-江苏北路125号,写字楼,乙级,15,分体空调,2,1,500,30,电信,80,上海联冠置业有限公司,食堂,企业名称：顺治投资，所属行业：会计/金融/银行/保险、企业名称：海柏贸易，所属行业：贸易/消费/制造/营运、企业名称：吉娜广告，所属行业：广告/媒体、企业名称：光线电视传媒，所属行业：广告/媒体、企业名称：邦辰会展服务，所属行业：专业服务/教育/培训,食堂,12,2006年9月,10000,234,3.3,80,2.7,上海联冠置业发展有限公司,4.5,False,True,100m²,涂料,3.57
2891,新曹杨科技大厦,普陀-长风商务区-怒江北路399号,写字楼,甲级,10,,,,,,,,,,,,19,,,,,,,,,True,True,,,3.38
2892,上海时尚产业园,长宁-天山-上海 长宁天山路1718号,创意园区,乙级,15,分体空调,1,1,500,15,电信、联通、移动,,,商务中心、会议室、会展中心,企业名称：中国服装设计师协会上海代表处，所属行业：政府/非赢利机构/其他、企业名称：亚洲时尚联合会中国委员会秘书处，所属行业：政府/非赢利机构/其他、企业名称：上海毛戈平形象设计艺术学校，所属行业：专业服务/教育/培训,商务中心、会议室、会展中心,3,2004年12月,12000,,3,,,,6,False,True,100m²、250m²、500m²,面砖,3.95
2893,胜康廖氏大厦,浦东-八佰伴-商城路738号,写字楼,甲级,24,集中式中央空调,5,1,560,170,电信,180,上海怡和高力物业服务有限公司,便利店,企业名称：清华紫光，所属行业：计算机/互联网/通信/电子、企业名称：美国胜镭集团有限公司(上海)，所属行业：贸易/消费/制造/营运、企业名称：中国东方惠科防伪有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海固达国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：宏尔特石化机电设备有限公司，所属行业：贸易/消费/制造/营运,便利店,26,1995年5月,40000,241,2.48,180,2.4,上海胜康廖氏集团,3.5,True,True,84m²、120m²、144m²,,4.36
2894,江桥万达广场,嘉定-江桥-华江路998号,商业综合体,甲级,6,分体空调,2,2,500,100,电信、联通、长城、卫通,960,上海江桥万达投资有限公司,银行、ATM、餐饮、食堂、商务中心,企业名称：金其商贸，所属行业：贸易/消费/制造/营运、企业名称：热舞舞蹈会所，所属行业：专业服务/教育/培训、企业名称：上海俱净建筑安装工程有限公司，所属行业：房地产/建筑、企业名称：台纬电子(上海)有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海泾硕机电设备有限公司，所属行业：贸易/消费/制造/营运,银行、ATM、餐饮、食堂、商务中心,10,2011年1月,170000,1200,2.9,960,2.7,上海嘉定万达投资有限公司,5.6,False,True,360m²,涂料,1.96
2895,生物大厦,长宁-延安西路-延安西路1326号,写字楼,乙级,17,集中式中央空调、半集中式中央空调,3,1,150,52,电信、联通、移动、卫通,45,上海交大慧谷科技园区有限公司,便利店、会议室,企业名称：英孚教育(共和新路店)，所属行业：专业服务/教育/培训,便利店、会议室,24,2006年10月,21000,1080,3.2,45,2.7,上海交大慧谷科技园区有限公司,4,True,True,1080m²,大理石,3.45
2896,东方希望大厦,浦东-竹园商贸区-世纪大道1777号,写字楼,甲级,30,集中式中央空调,4,1,1250,25,电信、联通、长城、铁通、移动、卫通,120,戴德联行,餐饮、便利店,企业名称：翔泰机电，所属行业：贸易/消费/制造/营运、企业名称：乔普贸易，所属行业：贸易/消费/制造/营运、企业名称：上海卡迪休闲用品有限公司，所属行业：贸易/消费/制造/营运、企业名称：百灵威化学技术有限公司，所属行业：能源/原材料、企业名称：美国泰克索尼有限公司，所属行业：贸易/消费/制造/营运,餐饮、便利店,12,2007年6月,26000,1600,3.3,120,2.8,上海东方希望房地产有限公司,8,True,True,100m²、200m²、300m²,玻璃幕墙,6.29
2897,美奂大厦,徐汇-衡山路-中山南二路107号,写字楼,甲级,27,,,,,,,,,,,,,,,,,,,,,True,True,,,4.17
2898,富容大厦,静安-江宁路-江宁路838号(海防路口),写字楼,乙级,1.9,分体空调,1,1,600,30,电信、移动、卫通,10,,银行、餐饮、便利店、食堂、商务中心、会议室、会展中心,企业名称：上海欧马旅行社有限公司，所属行业：专业服务/教育/培训、企业名称：雅舒内衣有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海圣懋控制设备有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海欣成物业管理有限公司，所属行业：专业服务/教育/培训,银行、餐饮、便利店、食堂、商务中心、会议室、会展中心,28,1997年5月,,,3,10,3,上海容达房地产开发公司,3,False,True,32m²,面砖,4.56
2899,渡口空间,黄浦-老西门-陆家浜路18号,写字楼,甲级,15,,,,,,,,,,,,,,,,,,,,,True,True,,,7.1
2900,汇智园满星空间,静安-大宁绿地-江场路1400号,商业综合体,甲级,20,,,,,,,,上海星海时尚物业管理有限公司,,,,8,2017年10月,,,,,,上海星满园企业管理有限公司,,True,True,,,3.04
2902,万科早城,闵行-浦江-浦江镇浦锦路2049弄,综合写字楼,甲级,6,分体空调,,,,300,电信,,上海万科物业管理有限公司,ATM、会议室,,ATM、会议室,6,2013年12月,98148,,,,,上海加来房地产开发有限公司,,False,False,,玻璃幕墙,1.79
2903,宝鼎大厦,黄浦-打浦桥-徐家汇路550号,写字楼,甲级,12,半集中式中央空调,5,1,800,30,电信、联通、长城、铁通,250,,银行、ATM、餐饮、便利店、会议室,企业名称：北京联合保险经济有限公司上海分公司，所属行业：会计/金融/银行/保险、企业名称：中信建投证券有限公司，所属行业：会计/金融/银行/保险、企业名称：中天科技集团，所属行业：贸易/消费/制造/营运、企业名称：芒果网有限公司上海分公司，所属行业：计算机/互联网/通信/电子、企业名称：新悦浪漫佳缘网，所属行业：计算机/互联网/通信/电子,银行、ATM、餐饮、便利店、会议室,29,1998年1月,37050,1277,3.6,250,2.6,北京致祥房地产开发有限公司,3,True,True,172m²、466m²、610m²,玻璃幕墙,3.65
2906,浦江高科技广场,闵行-浦江-闵行-浦江-浦江高科技广场 8号线浦江镇地铁口附近或多面积出租无中介费,写字楼,甲级,9.3,,,,,,,,,,,,1,,,,,,,,,True,True,,,2.03
2908,民族大厦,黄浦-打浦桥-肇嘉浜路212号,写字楼,甲级,,,,,,,,,,,,,11,,,,,,,,,True,True,,,4.56
2909,半岛科技园,浦东-张江-浦东达尔文路88号(近高科中路)5号楼,写字楼,乙级,12,分体空调,1,1,750,90,电信、联通、移动,300,,食堂,企业名称：聚星天华（天津）文化传播，所属行业：广告/媒体、企业名称：上海全众人才交流有限公司，所属行业：专业服务/教育/培训、企业名称：上海英华检测科技有限公司，所属行业：政府/非赢利机构/其他、企业名称：上海红之盟网络科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海宏昊节能科技有限公司，所属行业：能源/原材料,食堂,6,2007年1月,42000,400,3.7,300,3,上海新希望房地产开发有限公司,3.9,True,True,12m²、991m²、920m²、192m²、419m²、300m²、000m²、000m²、000m²、000m²、000m²,大理石,4.06
2910,大宁易园,静安-大宁绿地-彭江路602号,创意园区,乙级,10.9,分体空调,3,1,300,300,电信、联通,200,德必,食堂、ATM、餐饮、便利店、会议室、会展中心,,食堂、ATM、餐饮、便利店、会议室、会展中心,4,2012年10月,50000,4,5.95,200,5.9,上海闸北德必文化创意产业发展有限公司,6,True,True,200m²,涂料,4.06
2913,建工•汇豪商务广场,徐汇-徐家汇-吴中路51号,写字楼,甲级,25.9,,,,,,,,,,,,,,,,,,,,,True,True,,,5.07
2914,歆翱国际商务园,"嘉定-嘉定城区-爱特路,近嘉闵高架路",商业综合体,甲级,8,,,,,,,,上海歆翱物业服务有限公司,,,,12,2008年1月,,,,,,上海歆翱实业有限公司,,True,True,,,2.53
