,name,link-href,sources,surfaceRange,address,averageRent,averageBCRent,nameBC,floors,surface,floor_height,elevator,companys,building_surface,address_for_coordinate,latitude,longitude
1837,丽空间小木桥创意产业园,https://www.haozu.com/sh_xzl_40767/,15,45 - 566m²,徐汇  龙华徐汇区小木桥路780800号  ,5.18,6.2,龙华,,,,,,,徐汇  龙华徐汇区小木桥路780800号  ,31.2074661255,121.462211609
1838,蓝天大厦,https://www.haozu.com/sh_xzl_1571/,12,870m²,杨浦  五角场黄兴路2077号  ,4.8,24.11,五角场,27.0,44000m²,3.6,5,企业名称：嘉洋钢铁有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海思第尔贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海春诚工贸有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海嘉洋钢铁有限公司，所属行业：能源/原材料、企业名称：上海亿旺实业发展有限公司，所属行业：政府/非赢利机构/其他,44000,杨浦  五角场黄兴路2077号  ,31.3033733368,121.522865295
1839,乌鲁木齐中路15弄,https://www.haozu.com/sh_xzl_35362/,1,500m²,徐汇  其他乌鲁木齐中路15弄  ,8.6,5.82,其他,,,,,,,徐汇  其他乌鲁木齐中路15弄  ,31.2228813171,121.451309204
1840,林林富杉创业园区,https://www.haozu.com/sh_xzl_28254/,4,40 - 150m²,普陀  万里城交通路2687号  ,3.03,4.38,万里城,,,,,,,普陀  万里城交通路2687号  ,31.2659225464,121.429496765
1841,新茂大厦,https://www.haozu.com/sh_xzl_23968/,39,166 - 1060m²,卢湾  淮海中路太仓路233号  ,12.81,9.28,淮海中路,20.0,43400m²,3.0,8,资生堂、罗氏诊断、日本航空、奥雅纳工程咨询公司,43400,卢湾  淮海中路太仓路233号  ,31.2267913818,121.480278015
1842,凯德龙之梦（虹口）,https://www.haozu.com/sh_xzl_17754/,20,95.9 - 215.1m²,虹口  虹口足球场西江湾路388号  ,8.39,4.38,虹口足球场,32.0,230206m²,2.9,6,中建船务（上海）有限公司、美国格莱仕工业公司上海代表处、上海讯龙商务咨询有限公司,230206,虹口  虹口足球场西江湾路388号  ,31.2766628265,121.484809875
1843,仙乐斯广场,https://www.haozu.com/sh_xzl_1771/,68,106.7 - 747m²,黄浦  人民广场南京西路388号，临近中...  ,8.89,8.57,人民广场,37.0,81000m²,4,10,企业名称：荷兰皇家航空公司上海办事处，所属行业：物流/运输、企业名称：中信保城投资，所属行业：会计/金融/银行/保险、企业名称：渣华货运（中国）有限公司，所属行业：物流/运输、企业名称：杰伟士（中国）投资有限公司，所属行业：会计/金融/银行/保险、企业名称：罗科通信技术（上海）有限公司，所属行业：计算机/互联网/通信/电子、企业名称：摩客信息科技，所属行业：计算机/互联网/通信/电子、企业名称：住仓国际货运有限公司，所属行业：物流/运输、企业名称：思爱普(北京)软件系统有限公司上海分公司，所属行业：计算机/互联网/通信/电子、企业名称：美国集锦国际有限公司上海代表处，所属行业：贸易/消费/制造/营运、企业名称：德国科罗西慕有限公司上海代表处，所属行业：贸易/消费/制造/营运,81000,黄浦  人民广场南京西路388号，临近中...  ,31.2374649048,121.475486755
1844,东隆友邦大厦,https://www.haozu.com/sh_xzl_5246/,1,45m²,静安  西康路西康路223号  ,3.9,8.11,西康路,6.0,4900m²,3,2,数达企业管理咨询上海有限公司、上海欧蓝国际贸易有限公司、上海沪嘉经济城,4900,静安  西康路西康路223号  ,31.2363529205,121.456993103
1845,硕和国际,https://www.haozu.com/sh_xzl_1574/,2,176m²,杨浦  五角场安波路569号  ,2.8,24.11,五角场,16.0,53007m²,3.2,4,企业名称：上海东航之星红门假日酒店，所属行业：贸易/消费/制造/营运、企业名称：上海青茂金属材料有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海汇贸实业有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海物驰货物运输代理有限公司，所属行业：物流/运输、企业名称：上海泽冶钢铁贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海青茂金属材料有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海汇贸实业有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海物驰货物运输代理有限公司，所属行业：物流/运输、企业名称：上海泽冶钢铁贸易有限公司，所属行业：贸易/消费/制造/营运,53007,杨浦  五角场安波路569号  ,31.307258606,121.534065247
1846,富海商务苑,https://www.haozu.com/sh_xzl_11760/,2,240 - 250m²,浦东  张江毕升路299弄  ,3.5,4.68,张江,6.0,26716m²,3,2,,26716,浦东  张江毕升路299弄  ,31.1902942657,121.592323303
1847,微格科技园,https://www.haozu.com/sh_xzl_39266/,5,1260m²,青浦  重固崧泽大道6055号  ,1.7,3.28,重固,,,,,,,青浦  重固崧泽大道6055号  ,31.1808376312,121.188682556
1848,中国芯科技园,https://www.haozu.com/sh_xzl_18085/,2,732.8 - 2421.5m²,浦东  张江金科路2517号  ,5.0,4.68,张江,,,,,,,浦东  张江金科路2517号  ,31.219329834,121.606704712
